251658240:268435455 0:4294967295 0:65535 0:65535 0:255
0:4294967295 267911168:268435455 0:65535 0:65535 0:255
3231123968:3231124479 0:134217727 0:65535 0:65535 0:255
3231123968:3231124479 134217728:201326591 0:65535 0:65535 0:255
3231123968:3231124479 201326592:234881023 0:65535 0:65535 0:255
3231123968:3231124479 234881024:251658239 0:65535 0:65535 0:255
3231123968:3231124479 268435456:536870911 0:65535 0:65535 0:255
3231123968:3231124479 536870912:1073741823 0:65535 0:65535 0:255
3231123968:3231124479 1073741824:2147483647 0:65535 0:65535 0:255
3231123968:3231124479 2180513792:2180579327 0:65535 0:65535 0:255
3231123968:3231124479 2182807552:2182873087 0:65535 0:65535 0:255
3231123968:3231124479 2182938624:2183004159 0:65535 0:65535 0:255
3231123968:3231124479 2183004160:2183069695 0:65535 0:65535 0:255
3231123968:3231124479 2192048128:2192113663 0:65535 0:65535 0:255
3231123968:3231124479 2250768384:2250833919 0:65535 0:65535 0:255
3231123968:3231124479 2373517312:2373582847 0:65535 0:65535 0:255
3231123968:3231124479 2377580544:2377646079 0:65535 0:65535 0:255
3231123968:3231124479 2377646080:2377711615 0:65535 0:65535 0:255
3231123968:3231124479 2463105024:2463170559 0:65535 0:65535 0:255
3231123968:3231124479 2464088064:2464153599 0:65535 0:65535 0:255
3231123968:3231124479 2483355648:2483421183 0:65535 0:65535 0:255
3231123968:3231124479 2626420736:2626551807 0:65535 0:65535 0:255
3231124298:3231124298 3501767719:3501767719 0:65535 5001:65535 6:6
3231124351:3231124351 3501767719:3501767719 0:65535 5001:65535 6:6
3231124351:3231124351 3630654223:3630654223 0:65535 5001:65535 6:6
3231123968:3231124479 2147483648:4294967295 0:65535 0:65535 0:255
3231124241:3231124241 251688964:251688964 0:65535 1221:1221 6:6
3231124241:3231124241 251688964:251688964 0:65535 0:1599 6:6
3231124241:3231124241 251688964:251688964 0:65535 0:1649 6:6
3231124246:3231124246 251688964:251688964 0:65535 1221:1221 6:6
3231124246:3231124246 251688964:251688964 0:65535 1521:1521 6:6
3231124246:3231124246 251688964:251688964 0:65535 0:1299 6:6
3231124246:3231124246 251688964:251688964 0:65535 0:1350 6:6
3231124265:3231124265 251688964:251688964 0:65535 1521:1521 6:6
3231124265:3231124265 251688964:251688964 0:65535 1525:1525 6:6
3231124265:3231124265 251688964:251688964 0:65535 1526:1526 6:6
3231124265:3231124265 251688964:251688964 0:65535 0:1599 6:6
3231124265:3231124265 251688964:251688964 0:65535 0:1649 6:6
3231124265:3231124265 251688964:251688964 0:65535 14753:14753 6:6
3231124267:3231124267 251688964:251688964 0:65535 1221:1221 6:6
3231124267:3231124267 251688964:251688964 0:65535 1521:1521 6:6
3231124267:3231124267 251688964:251688964 0:65535 1525:1525 6:6
3231124267:3231124267 251688964:251688964 0:65535 1526:1526 6:6
3231124267:3231124267 251688964:251688964 0:65535 0:1299 6:6
3231124267:3231124267 251688964:251688964 0:65535 0:1350 6:6
3231124270:3231124270 251688964:251688964 0:65535 31000:31000 6:6
3231124275:3231124275 251688964:251688964 0:65535 1525:1525 6:6
3231124275:3231124275 251688964:251688964 0:65535 1526:1526 6:6
3231124295:3231124295 251688964:251688964 0:65535 1221:1221 6:6
3231124295:3231124295 251688964:251688964 0:65535 1489:1489 6:6
3231124295:3231124295 251688964:251688964 0:65535 1490:1490 6:6
3231124295:3231124295 251688964:251688964 0:65535 1521:1521 6:6
3231124295:3231124295 251688964:251688964 0:65535 0:1599 6:6
3231124295:3231124295 251688964:251688964 0:65535 0:1649 6:6
3231124383:3231124383 251688964:251688964 0:65535 1521:1521 6:6
3231124383:3231124383 251688964:251688964 0:65535 14753:14753 6:6
3231124409:3231124409 251688964:251688964 0:65535 1521:1521 6:6
3231124413:3231124413 251688964:251688964 0:65535 1521:1521 6:6
3231124413:3231124413 251688964:251688964 0:65535 14753:14753 6:6
3231124278:3231124278 251688966:251688966 0:65535 1221:1221 6:6
3231124278:3231124278 251688966:251688966 0:65535 0:1599 6:6
3231124278:3231124278 251688966:251688966 0:65535 0:1649 6:6
3231124295:3231124295 251688966:251688966 0:65535 1221:1221 6:6
3231124295:3231124295 251688966:251688966 0:65535 0:1599 6:6
3231124295:3231124295 251688966:251688966 0:65535 1650:1650 6:6
3231124306:3231124306 251688967:251688967 0:65535 1521:1521 6:6
3231124307:3231124307 251688967:251688967 0:65535 1521:1521 6:6
3231124444:3231124444 251688967:251688967 0:65535 1521:1521 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:60999 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61009 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61099 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61119 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61199 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61209 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61299 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61309 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61399 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61409 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61499 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61509 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61599 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61609 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61699 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61709 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61799 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61809 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61899 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61909 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:61999 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62009 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62099 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62109 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62199 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62219 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62239 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62399 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62409 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62499 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62509 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62599 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62609 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62699 6:6
3231124251:3231124251 251688972:251688972 0:65535 0:62709 6:6
3231124251:3231124251 251688972:251688972 0:65535 62710:65535 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:60999 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61009 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61099 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61119 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61199 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61209 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61299 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61309 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61399 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61409 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61499 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61509 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61599 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61609 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61699 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61709 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61799 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61809 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61899 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61909 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:61999 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62009 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62099 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62109 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62199 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62239 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62399 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62409 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62499 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62509 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62599 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62609 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62699 6:6
3231124252:3231124252 251688972:251688972 0:65535 0:62709 6:6
3231124265:3231124265 251688992:251688992 0:65535 1221:1221 6:6
3231124265:3231124265 251688992:251688992 0:65535 1521:1521 6:6
3231124265:3231124265 251688992:251688992 0:65535 1525:1525 6:6
3231124265:3231124265 251688992:251688992 0:65535 1526:1526 6:6
3231124265:3231124265 251688992:251688992 0:65535 0:1299 6:6
3231124265:3231124265 251688992:251688992 0:65535 0:1349 6:6
3231124348:3231124348 251688993:251688993 0:65535 1521:1521 6:6
3231124293:3231124293 251688996:251688996 0:65535 6789:6789 6:6
3231123968:3231124479 251689007:251689007 0:65535 5555:5555 6:6
3231123968:3231124479 251689007:251689007 0:65535 0:65535 6:6
3231124354:3231124355 251689009:251689009 0:65535 0:1699 6:6
3231124354:3231124355 251689009:251689009 0:65535 0:1750 6:6
3231124354:3231124355 251689014:251689014 0:65535 0:1699 6:6
3231124354:3231124355 251689014:251689014 0:65535 0:1750 6:6
3231124354:3231124354 251689015:251689015 0:65535 0:1699 6:6
3231124354:3231124354 251689015:251689015 0:65535 0:1720 6:6
3231124355:3231124355 251689015:251689015 0:65535 0:1699 6:6
3231124355:3231124355 251689015:251689015 0:65535 0:1720 6:6
3231124383:3231124383 251689054:251689054 0:65535 1521:1521 6:6
3231124412:3231124412 251689054:251689054 0:65535 1521:1521 6:6
3231124412:3231124412 251689054:251689054 0:65535 14753:14753 6:6
3231124383:3231124383 251689063:251689063 0:65535 1521:1521 6:6
3231124414:3231124414 251689063:251689063 0:65535 1221:1221 6:6
3231124414:3231124414 251689063:251689063 0:65535 1521:1521 6:6
3231124414:3231124414 251689063:251689063 0:65535 1400:65535 6:6
3231124414:3231124414 251689063:251689063 0:65535 1300:65535 6:6
3231124288:3231124288 251689064:251689064 0:65535 1350:65535 6:6
3231124288:3231124288 251689064:251689064 0:65535 1300:65535 6:6
3231124306:3231124306 251689067:251689067 0:65535 1521:1521 6:6
3231124307:3231124307 251689067:251689067 0:65535 1521:1521 6:6
3231124444:3231124444 251689067:251689067 0:65535 1521:1521 6:6
3231124263:3231124263 251689217:251689217 0:65535 0:1299 6:6
3231124263:3231124263 251689217:251689217 0:65535 0:1350 6:6
3231124443:3231124443 251689217:251689217 0:65535 0:1299 6:6
3231124443:3231124443 251689217:251689217 0:65535 0:1350 6:6
3231124272:3231124272 251689228:251689228 0:65535 1521:1521 6:6
3231124272:3231124272 251689228:251689228 0:65535 1526:1526 6:6
3231124272:3231124272 251689228:251689228 0:65535 15121:15121 6:6
3231124272:3231124272 251689228:251689228 0:65535 15126:15126 6:6
3231124241:3231124241 251689402:251689402 0:65535 1221:1221 6:6
3231124241:3231124241 251689402:251689402 0:65535 1521:1521 6:6
3231124241:3231124241 251689402:251689402 0:65535 0:1599 6:6
3231124241:3231124241 251689402:251689402 0:65535 0:1649 6:6
3231124246:3231124246 251689402:251689402 0:65535 1521:1521 6:6
3231124246:3231124246 251689402:251689402 0:65535 14753:14753 6:6
3231124265:3231124265 251689402:251689402 0:65535 1221:1221 6:6
3231124265:3231124265 251689402:251689402 0:65535 1521:1521 6:6
3231124265:3231124265 251689402:251689402 0:65535 1525:1525 6:6
3231124265:3231124265 251689402:251689402 0:65535 1526:1526 6:6
3231124265:3231124265 251689402:251689402 0:65535 0:1299 6:6
3231124265:3231124265 251689402:251689402 0:65535 0:1350 6:6
3231124265:3231124265 251689402:251689402 0:65535 0:1599 6:6
3231124265:3231124265 251689402:251689402 0:65535 0:1650 6:6
3231124267:3231124267 251689402:251689402 0:65535 1521:1521 6:6
3231124267:3231124267 251689402:251689402 0:65535 1525:1525 6:6
3231124267:3231124267 251689402:251689402 0:65535 1526:1526 6:6
3231124267:3231124267 251689402:251689402 0:65535 14753:14753 6:6
3231124270:3231124270 251689402:251689402 0:65535 31000:31000 6:6
3231124275:3231124275 251689402:251689402 0:65535 1221:1221 6:6
3231124275:3231124275 251689402:251689402 0:65535 1521:1521 6:6
3231124275:3231124275 251689402:251689402 0:65535 1525:1525 6:6
3231124275:3231124275 251689402:251689402 0:65535 1526:1526 6:6
3231124275:3231124275 251689402:251689402 0:65535 0:1299 6:6
3231124275:3231124275 251689402:251689402 0:65535 0:1350 6:6
3231124278:3231124278 251689402:251689402 0:65535 1221:1221 6:6
